treat	lictec2	motivation	barriers	consiglio_lictec2	stdmatIII	stditaIII	school	perc_participation_orient	perc_participation_calp	perc_participation	late	female	immigrato_prima_gen	stdinvalsiI	stdinvalsiI_2	province	educmother	occmother	educfather	occfather	citizenship
0	0			0	-.5651366	-.5629779	20				1	0	1	.0525164	.002758	2	2	3	2	1	2
0	0			0			84				1	1	0	-.667547	.445619	3	4	5	4	5	1
1	0			0	-.6843451	-.9601645	41	0	.0689655	.047619	0	0	1	.37102	.1376559	3	4	5	4	5	1
1	0	.210219	-.3004799	1	1.3422	.9264717	135	1		1	1	0	1	2.104576	4.42924	4	1	4	1	1	4
1	0			0			22	.3076923	.2413793	.2619048	0	1	0	-.6041049	.3649428	2	4	5	4	5	2
1	0	-.0005616	-.4216433	0	-1.041971	-1.555945	134	.9230769	.8275862	.8571429	0	1	0	-.4892007	.2393173	4	2	2	1	5	4
1	0			1	1.103783	-.2650878	140	0	0	0	0	0	1	.4222274	.1782759	4	3	2	4	5	1
0	0			0			55				1	0	1	.7407186	.548664	3	4	5	4	5	2
1	0			0			22	0	0	0	1	0	0	-.1323105	.0175061	2	4	5	4	5	4
0	0			0	-1.87643	-.8608677	125				1	1	1	-.1705122	.0290744	4	3	2	3	5	4
0	0	-.7373995	-.0937819	1	-.0883026	.330692	25				0	0	1	.8809078	.7759986	2	3	2	4	5	4
1	0			0			104	.0769231	0	.0238095	1	0	1	.3713323	.1378877	1	4	5	4	5	4
1	0			0			22	.4615385	.2758621	.3333333	0	1	0	-.3299584	.1088725	2	4	5	4	5	2
0	0			0			86				0	0	0	-.2406068	.0578916	3	4	5	4	5	1
0	0			0			55				0	0	1	.9892361	.978588	3	4	5	4	5	1
0	0			0			21				1	0	1	.3392672	.1151022	2	4	5	4	5	4
1	0	-.6786677	-.0030768	0	-.445928	-1.258054	65	.8461539	.6206896	.6904762	1	0	1	-.1704038	.0290375	3	4	2	4	2	4
1	0			0			41	0	0	0	0	0	0	-.1960074	.0384189	3	4	5	4	5	1
1	0	.0515179	-.1195588	0	-.5651366	-1.456648	23	.9230769	.862069	.8809524	1	0	1	-.3614947	.1306784	2	3	2	3	4	4
0	0			0			139				1	0	0	.2755448	.0759249	4	4	5	4	5	2
1	0			0	-.2075111	-.9601645	136	0	0	0	1	0	1	-.5016903	.2516932	4	4	5	4	5	4
1	0			0			22	.6153846	.4137931	.4761905	0	1	0	-.0174062	.000303	2	4	5	4	5	2
1	0	-.8497544	.0894257	0	-.445928	-.1657912	110	.8461539	.7931035	.8095238	0	0	1	-.9990885	.9981778	1	3	3	3	5	4
0	0			1			95				1	1	1	.2819172	.0794773	3	4	5	4	5	1
1	0	.3124838	-.0793778	0	.8653655	.2313955	26	1	.8823529	.9333333	0	0	0	.8999545	.8099181	5	2	3	2	2	4
0	0			0	-.445928	-1.456648	45				0	0	0	.2436835	.0593817	3	4	5	4	5	2
1	0			0			27	0	0	0	0	0	1	-.0558118	.003115	5	4	5	4	5	1
0	0	-.4367476	.1215921	0	-1.280388	-.2650878	6				0	0	0	.3201505	.1024964	2	2	3	2	2	4
0	0			0			37				0	0	1	.6961129	.4845731	3	4	5	4	5	3
1	0	-.001867	.1018215	0	.6269484	-.3643845	10	1	.7931035	.8571429	0	0	0	.2308244	.0532799	2	2	3	2	1	2
0	0			1	-.0883026	-.3643845	95				1	1	0	.307406	.0944984	3	4	1	4	2	3
1	0			0			8	0	0	0	0	0	0	-.533851	.2849969	2	4	5	4	5	2
0	0			0	1.103783	.0328019	83				0	0	1	.6833681	.4669919	3	4	3	4	1	2
0	0	-.8086271	.6558444	0	.0309059	-.6622744	17				0	0	0	-.6293136	.3960357	2	3	3	2	1	4
1	0			0			122	.3846154	0	.1666667	0	0	0	.8684184	.7541505	4	4	5	4	5	2
0	0			0	.6269484	.0328019	60				0	0	0	.931886	.8684114	3	3	2	4	5	1
0	0			0	.6269484	1.224362	83				0	1	1	.8745354	.7648122	3	4	5	4	5	3
1	0	.1659668	.6236946	0	.0309059	-1.059461	110	.8461539	.3103448	.4761905	0	0	0	-.9669278	.9349493	1	2	5	2	5	2
0	0			1	-1.638013	-.5629779	103				1	0	0	.1417277	.0200867	3	2	3	1	1	2
0	0			0	-.6843451	-1.357351	17				0	0	0	-.0494397	.0024443	2	2	3	2	2	4
1	0			0	-.0883026	-.7615712	123	.6923077	.6896552	.6904762	0	1	0	-.1704038	.0290375	4	4	5	4	5	1
0	0			0			55				1	0	1	1.25687	1.579723	3	4	5	4	5	1
1	0			0	-1.161179	-1.953131	50	.4615385	.3793103	.4047619	1	0	1	-.3234014	.1045884	3	4	4	3	4	2
0	0			0			98				1	0	0	-.6038246	.3646041	3	4	5	4	5	1
1	0			0			141	.3076923	.3448276	.3333333	1	1	1	.4537637	.2059015	4	4	5	4	5	1
0	0	-.016987	.5435488	0	-1.518805	.0328019	13				0	1	0	-.3680517	.135462	2	3	3	2	2	4
0	0	-.4777643	-.0500388	0			1				1	0	1	-.1131619	.0128056	2	4	5	4	5	3
0	0			0			83				0	0	0	.8809078	.7759986	3	4	5	4	5	1
1	0	-1.046472	-.1190406	0			108	.9230769	.4482759	.5952381	0	0	1	-.0046045	.0000212	1	4	5	4	5	4
