"","treat","lictec2","motivation","barriers","consiglio_lictec2","stdmatIII","stditaIII","school","perc_participation_orient","perc_participation_calp","perc_participation","late","female","immigrato_prima_gen","stdinvalsiI","stdinvalsiI_2","province","educmother","occmother","educfather","occfather","citizenship","preds","sqrt","excesserror","debiasederror","mom_working_class","mom_high_class","mom_home","mom_unemp","mom_miss","dad_working_class","dad_high_class","dad_home","dad_unemp","dad_miss","mom_educ_uni","mom_educ_hs","mom_educ_lhs","mom_educ_mis","dad_educ_uni","dad_educ_hs","dad_educ_lhs","dad_educ_mis","std_cit_latin","std_cit_afric","std_cit_asia","std_cit_easteur","province_pd","province_bs","province_mi","province_to","province_ge"
"261",1,1,-0.0650818,0.114844,0,0.1501142,0.0328019,"22",1,0.9655172,0.9761904,0,1,0,-0.5400959,0.2917036,"2","1","3","1","2","3",-0.0133925843825558,0.0771470791869628,6.95297043031128e-07,0.0704205602158366,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"262",1,1,0.492583,0.0914763,1,0.3885313,-0.4636813,"7",1,0.9655172,0.9761904,0,0,0,-0.3742964,0.1400978,"2","2","3","1","2","2",0.0473494679270614,0.0598452707425659,5.84105273051742e-07,0.0675065461354459,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"263",0,1,-0.3164181,0.2506592,1,0.5077398,0.8271752,"25",NA,NA,NA,0,1,1,1.135798,1.290036,"2","2","1","1","1","4",0.0350406401185906,0.0317077452767632,3.25824671897432e-07,0.00337458678551469,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"264",0,1,NA,NA,0,0.5077398,-0.8608677,"20",NA,NA,NA,0,0,1,-0.6866637,0.471507,"2","3","2","3","2","4",-0.00644197768562995,0.0933667729479592,5.49247728739583e-07,0.318912092750095,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"265",0,1,0.2719758,-0.3446242,0,0.2693228,-0.5629779,"17",NA,NA,NA,0,0,1,0.0843776,0.0071196,"2","1","3","2","5","4",0.0705145385647958,0.04648223053538,4.39489823182397e-07,0.07134105138891,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"266",0,1,NA,NA,0,0.7461569,-0.7615712,"20",NA,NA,NA,1,1,1,-0.2660958,0.070807,"2","4","3","4","2","3",0.0921647200515373,0.0503907324252389,5.19891785448638e-07,0.123834072846409,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
"267",0,1,NA,NA,1,0.0309059,1.125065,"20",NA,NA,NA,1,1,1,0.383873,0.1473585,"2","2","3","2","1","4",0.100095544458254,0.0386559020366362,4.43323179998295e-07,0.0236998221925926,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"268",0,1,-0.3599736,-0.322287,0,-1.041971,-1.158758,"13",NA,NA,NA,0,1,0,-0.0430673,0.0018548,"2","3","3","1","2","2",0.106687463215505,0.0679469352720564,5.49249250449814e-07,0.0831456069181246,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"269",0,1,0.5037663,0.1793751,0,0.0309059,0.9264717,"17",NA,NA,NA,0,1,0,-0.0494397,0.0024443,"2","3","3","2","2","4",0.0857596577496748,0.0710070841597777,5.32924190040333e-07,0.0577445582943612,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"270",0,1,-0.3177922,-0.1489389,1,-0.5651366,-1.258054,"17",NA,NA,NA,0,0,1,-0.5910802,0.3493759,"2","3","3","2","1","4",-0.0245929220999219,0.0876179840691206,5.86525962179439e-07,0.176966622095316,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"271",0,1,0.377933,0.7071862,1,0.5077398,0.1320989,"13",NA,NA,NA,0,0,0,0.4858288,0.2360296,"2","3","3","3","4","4",0.0663805720341855,0.0500813763537012,4.29358670090773e-07,0.0389177943443664,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"272",0,1,0.0387359,0.2866026,1,0.0309059,-0.6622744,"17",NA,NA,NA,0,0,0,0.5686679,0.3233832,"2","2","3","2","2","2",0.0606191008713512,0.0442702570722279,4.58924278966086e-07,0.036391482604265,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
